source_url,source_files,download_url,local_pdf,docling_dir,local_markdown,local_markdown_chunks,docling_toc_md,docling_toc_json,docling_chunks_dir,status,notes
http://agent-trust.camel-ai.org/,LLM Trust Bench_ Research & Implementation.md,https://arxiv.org/pdf/2402.04559.pdf,knowledge_library/papers/arxiv_2402.04559.pdf,knowledge_library/docling/arxiv_2402.04559,,,knowledge_library/docling/arxiv_2402.04559/toc.md,knowledge_library/docling/arxiv_2402.04559/toc.json,knowledge_library/docling/arxiv_2402.04559/chunks,converted_existing,
https://arxiv.org/abs/2203.11171,Literature Review_ Behavioral Economics Experiments and Large Language Models.docx,https://arxiv.org/pdf/2203.11171.pdf,knowledge_library/papers/arxiv_2203.11171.pdf,knowledge_library/docling/arxiv_2203.11171,,,knowledge_library/docling/arxiv_2203.11171/toc.md,knowledge_library/docling/arxiv_2203.11171/toc.json,knowledge_library/docling/arxiv_2203.11171/chunks,converted_existing,
https://arxiv.org/abs/2301.07543,LLM Trust Bench_ Research & Implementation.md,https://arxiv.org/pdf/2301.07543.pdf,knowledge_library/papers/arxiv_2301.07543.pdf,knowledge_library/docling/arxiv_2301.07543,,,knowledge_library/docling/arxiv_2301.07543/toc.md,knowledge_library/docling/arxiv_2301.07543/toc.json,knowledge_library/docling/arxiv_2301.07543/chunks,converted_existing,
https://arxiv.org/abs/2502.03158,Literature Review_ Behavioral Economics Experiments and Large Language Models.docx,https://arxiv.org/pdf/2502.03158.pdf,knowledge_library/papers/arxiv_2502.03158.pdf,knowledge_library/docling/arxiv_2502.03158,,,knowledge_library/docling/arxiv_2502.03158/toc.md,knowledge_library/docling/arxiv_2502.03158/toc.json,knowledge_library/docling/arxiv_2502.03158/chunks,converted_existing,
https://arxiv.org/abs/2502.12504,Literature Review_ Behavioral Economics Experiments and Large Language Models.docx,https://arxiv.org/pdf/2502.12504.pdf,knowledge_library/papers/arxiv_2502.12504.pdf,knowledge_library/docling/arxiv_2502.12504,,,knowledge_library/docling/arxiv_2502.12504/toc.md,knowledge_library/docling/arxiv_2502.12504/toc.json,knowledge_library/docling/arxiv_2502.12504/chunks,converted_existing,
https://arxiv.org/abs/2512.10551,LLM Trust Bench_ Research & Implementation.md,https://arxiv.org/pdf/2512.10551.pdf,knowledge_library/papers/arxiv_2512.10551.pdf,knowledge_library/docling/arxiv_2512.10551,,,knowledge_library/docling/arxiv_2512.10551/toc.md,knowledge_library/docling/arxiv_2512.10551/toc.json,knowledge_library/docling/arxiv_2512.10551/chunks,converted_existing,
https://arxiv.org/html/2312.03664v2,LLM Trust Bench_ Research & Implementation.md,https://arxiv.org/pdf/2312.03664v2.pdf,knowledge_library/papers/arxiv_2312.03664v2.pdf,knowledge_library/docling/arxiv_2312.03664v2,,,knowledge_library/docling/arxiv_2312.03664v2/toc.md,knowledge_library/docling/arxiv_2312.03664v2/toc.json,knowledge_library/docling/arxiv_2312.03664v2/chunks,converted_existing,
https://arxiv.org/html/2501.10868v3,LLM Trust Bench_ Research & Implementation.md,https://arxiv.org/pdf/2501.10868v3.pdf,knowledge_library/papers/arxiv_2501.10868v3.pdf,knowledge_library/docling/arxiv_2501.10868v3,,,knowledge_library/docling/arxiv_2501.10868v3/toc.md,knowledge_library/docling/arxiv_2501.10868v3/toc.json,knowledge_library/docling/arxiv_2501.10868v3/chunks,converted_existing,
https://arxiv.org/html/2501.14250v2,LLM Trust Bench_ Research & Implementation.md,https://arxiv.org/pdf/2501.14250v2.pdf,knowledge_library/papers/arxiv_2501.14250v2.pdf,knowledge_library/docling/arxiv_2501.14250v2,,,knowledge_library/docling/arxiv_2501.14250v2/toc.md,knowledge_library/docling/arxiv_2501.14250v2/toc.json,knowledge_library/docling/arxiv_2501.14250v2/chunks,converted_existing,
https://arxiv.org/html/2501.16173v1,LLM Trust Bench_ Research & Implementation.md,https://arxiv.org/pdf/2501.16173v1.pdf,knowledge_library/papers/arxiv_2501.16173v1.pdf,knowledge_library/docling/arxiv_2501.16173v1,,,knowledge_library/docling/arxiv_2501.16173v1/toc.md,knowledge_library/docling/arxiv_2501.16173v1/toc.json,knowledge_library/docling/arxiv_2501.16173v1/chunks,converted_existing,
